% Model:              Gyroid2-0.5.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 30 2025, 16:48
% Table:              切面 - 切面
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      2.5       20        166.47487958681396
-39.8                    2.6617878171814193       28.518218814660077       164.9551612349261
-39.6                    2.8297790208753204       30.001981046006147       163.34761482107683
-39.4                    2.952996447017557        31.324117669522508       161.99035941483388
-39.2                    3.046864533745398        32.579538617185676       160.8607800194008
-39                      3.1278705972809173       33.794886464443394       159.8279391435513
-38.800000000000004      3.230112099654117        34.33661747946384        158.76277325390066
-38.6                    3.277166026369375        35.14313185312484        157.90568612116226
-38.4                    3.2680049203968533       36.25485001369352        157.07250274952642
-38.2                    3.292529918408111        36.65958324102039        156.42292078184707
-38                      3.3350232305374177       36.843786032722775       155.87899463445535
-37.8                    3.3851345346580715       36.92453964892087        155.39435782464147
-37.6                    3.44248212416389         36.939366875923646       154.96024887016156
-37.400000000000006      3.495938677731697        36.968558322155495       154.55262319948545
-37.2                    3.5451332711038748       37.008849040190434       154.1548739903059
-37                      3.5841966045393083       37.13715886657915        153.74436233409827
-36.8                    3.6111388306965315       37.372449421763235       153.32853728486387
-36.6                    3.633599809984681        37.64955462464205        152.8602717183963
-36.4                    3.6982165000260463       37.444477765081174       152.33887994754843
-36.2                    3.7135061614727163       37.701763663159625       151.77542672154988
-36.00000000000001       3.674813189074835        38.369298217685625       151.1295541111772
-35.8                    3.6780749327536966       38.68640112643383        150.5479511699862
-35.6                    3.7034420440802878       38.67263927409647        150.02747333736244
-35.4                    3.7284810181257377       38.68819635572806        149.5155963688515
-35.2                    3.7586862670276227       38.72219943037024        149.0153826349284
-35                      3.7906394936862693       38.824828493527875       148.5010224769433
-34.8                    3.8258764997989747       38.956090766603246       147.96755382822434
-34.6                    3.857027882068391        39.22855010407868        147.40068893753846
-34.4                    3.893327241092552        39.594583955220685       146.77267691142495
-34.2                    3.922367757076433        40.18055793311403        146.0826869384839
-34                      3.9518355203166617       40.92416721456291        145.21713988754723
-33.8                    4.028380946552593        41.04105320352144        144.1592600964652
-33.6                    4.0395991303606005       41.40743847384665        143.4832624157959
-33.4                    3.994828770651417        41.99029452291378        143.04731409842012
-33.2                    3.9924393308945634       42.03480679776238        142.65840536014022
-33                      4.016858375552093        41.976423804624865       142.3114308215728
-32.8                    4.045273341239839        41.94681971048701        142.0232006820079
-32.6                    4.0787138142945745       41.87739195101602        141.77005857149166
-32.4                    4.103268156686355        41.880012937185064       141.53825355255918
-32.2                    4.121302862932938        41.95657683450804        141.32882438727424
-32                      4.130122728990207        42.13625394141802        141.09202321265568
-31.799999999999994      4.12585097195127         42.47114860216185        140.81802665575063
-31.6                    4.109047481005659        42.962011652230025       140.48224461865104
-31.4                    4.147473731248306        42.80270439423388        140.0131519617066
-31.2                    4.137732890909503        42.946058729550636       139.73671287312777
-31                      4.069479085146202        43.47984280967995        139.57628015387
-30.799999999999997      4.031549808002623        43.56072500319157        139.46216614113106
-30.6                    4.015155324513563        43.429348820599365       139.35173439708603
-30.4                    4.0022181349846          43.30970395888491        139.2650963802864
-30.200000000000003      3.9879030471577295       43.272938723565304       139.14402874848582
-30                      3.9822901854677646       43.2493357888904         139.02260515036943
-29.799999999999997      3.9743447364117124       43.310765555589505       138.86115508771317
