% Model:              Gyroid.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 27 2025, 12:41
% Table:              切面数据 - 切面数据
% zp (mm)                速度大小 (m/s)               温度 (degC)                压力 (Pa)
-40                      1.034244918702928        33.301582559934175       21.603114067781554
-39.8                    1.2169598344041546       25.890961316265667       21.3830488784547
-39.6                    1.221131608672179        27.179633782270475       21.28598181502481
-39.4                    1.2245122147382228       28.276656882806723       21.209354139109312
-39.2                    1.2332937976779763       29.18021191157061        21.135442955483118
-39                      1.245278626355659        29.99727829281392        21.06284772405402
-38.800000000000004      1.2605841350167641       30.728195687657387       20.989075962032135
-38.6                    1.2768666793170471       31.567700270412804       20.911684154260218
-38.4                    1.2964998584797358       32.44162160396145        20.827998357250166
-38.2                    1.3181894404376304       33.433028818211085       20.734935431687024
-38                      1.3520172077230064       33.91177645265602        20.61587899678443
-37.8                    1.390352050320784        33.849397604687184       20.48466855687835
-37.6                    1.4099861376046305       34.259204942753335       20.37389246626665
-37.400000000000006      1.4206731438954066       34.837459113760794       20.268385664602334
-37.2                    1.4222709772411928       35.585551103604395       20.163141964255693
-37                      1.4061705219916956       36.839070997110035       20.044144416252237
-36.8                    1.3945190296172492       37.799239017898465       19.938678538669006
-36.6                    1.3962177608365678       38.09536714768181        19.858947667878855
-36.4                    1.4016662676640532       38.22405734371731        19.78959618095466
-36.2                    1.4088252276076312       38.30228502749599        19.725722008943798
-36.00000000000001       1.4190913651678791       38.3060172108211         19.66834381113994
-35.8                    1.4298418753575692       38.31825666502093        19.61439546321558
-35.6                    1.4419058353820369       38.29624336718723        19.563135143969994
-35.4                    1.4549154177090002       38.26015558981651        19.513747500323593
-35.2                    1.4670997322867416       38.27960453049331        19.46396736438877
-35                      1.4809113638753562       38.261773706979056       19.414514154617997
-34.8                    1.494666909603768        38.26840173923935        19.36381898795633
-34.6                    1.5091309081413575       38.294906213855874       19.312542194107866
-34.4                    1.5252575680315597       38.33264850849613        19.256958482770997
-34.2                    1.5421357732572185       38.43065444088113        19.19650285265881
-34                      1.5603904321687032       38.59074037029937        19.131389458178397
-33.8                    1.579974104172567        38.830011400252644       19.06027807868865
-33.6                    1.6002277281801065       39.23071151547956        18.976239795845576
-33.4                    1.6191737536887394       39.892717858549695       18.88129413713473
-33.2                    1.6392206814514454       40.7542212572335         18.76986752687326
-33                      1.661604583224579        41.53975399535195        18.619060688305353
-32.8                    1.6931360546935839       41.54600622124535        18.453006274089926
-32.6                    1.7025114330758364       41.91991126969191        18.34010889721405
-32.4                    1.700471323074659        42.43319224954732        18.248291176028694
-32.2                    1.6894246500968924       43.07803679763749        18.170297505555926
-32                      1.6550706908971227       44.303394080216144       18.103563991114658
-31.799999999999994      1.6342693971384863       44.96832595114441        18.05059673234278
-31.6                    1.6265689913714259       45.10361971605123        18.007715810401294
-31.4                    1.6240107451593087       45.03613391267986        17.97331801857637
-31.2                    1.6225415965042855       44.90366906646637        17.946643383890564
